Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales
FDX47,6.55,Regular,0.034674522,Breads,157.5288,OUT045,2002,,Tier 2,Supermarket Type1,1114.970928
FDC53,,Low Fat,0.015470159,Frozen Foods,100.4384,OUT019,1985,Small,Tier 1,Grocery Store,2755.056252
FDQ19,7.35,Regular,0.014362412,Fruits and Vegetables,241.1512,OUT035,2004,Small,Tier 2,Supermarket Type1,4013.363764
FDL14,8.115,Regular,0.032224086,Canned,154.8972,OUT045,2002,,Tier 2,Supermarket Type1,33.29
FDM33,,LF,0.153585858,Snack Foods,221.1798,OUT019,1985,Small,Tier 1,Grocery Store,1678.476403
FDA51,8.05,Regular,0.165013572,Dairy,113.2518,OUT045,2002,,Tier 2,Supermarket Type1,1650.250718
FDZ27,7.935,Low Fat,0.017226149,Dairy,48.635,OUT018,2009,Medium,Tier 3,Supermarket Type2,4364.902326
FDT04,17.25,LF,0.107041738,Frozen Foods,41.2822,OUT046,1997,Small,Tier 1,Supermarket Type1,4657.363643
DRC13,8.26,Regular,0.03249201,Soft Drinks,124.773,OUT049,1999,Medium,Tier 1,Supermarket Type1,630.4710578
FDR16,,Regular,0.104509448,Frozen Foods,214.7218,OUT027,1985,Medium,Tier 3,Supermarket Type3,688.0060502
FDQ03,,Regular,0.077636468,Meat,236.2248,OUT027,1985,Medium,Tier 3,Supermarket Type3,1079.934202
FDE38,6.52,Low Fat,0.044598726,Canned,167.7842,OUT035,2004,Small,Tier 2,Supermarket Type1,33.29
DRH23,,Low Fat,0.169493477,Hard Drinks,57.0614,OUT027,1985,Medium,Tier 3,Supermarket Type3,2597.247284
FDT11,,Regular,0.051427223,Breads,187.7556,OUT019,1985,Small,Tier 1,Grocery Store,3159.927769
FDD09,13.5,Low Fat,0.021492339,Fruits and Vegetables,179.6976,OUT035,2004,Small,Tier 2,Supermarket Type1,4063.104491
FDR40,9.1,Regular,0,Frozen Foods,81.9618,OUT045,2002,,Tier 2,Supermarket Type1,905.5585384
FDX07,19.2,Regular,0.02304845,Fruits and Vegetables,183.495,OUT017,2007,,Tier 2,Supermarket Type1,5756.98059
FDR07,21.35,Low Fat,0.077729209,Fruits and Vegetables,97.0094,OUT035,2004,Small,Tier 2,Supermarket Type1,33.29
FDA51,8.05,Regular,0.165611092,Dairy,114.2518,OUT017,2007,,Tier 2,Supermarket Type1,33.29
FDT59,,Low Fat,0.027858864,Breads,230.2668,OUT019,1985,Small,Tier 1,Grocery Store,4160.165837
FDF20,12.85,Low Fat,0.033408076,Fruits and Vegetables,195.0768,OUT017,2007,,Tier 2,Supermarket Type1,559.4713608
FDR13,9.895,Regular,0.028779079,Canned,114.8492,OUT045,2002,,Tier 2,Supermarket Type1,2183.845074
FDY26,20.6,Regular,0.030557961,Dairy,210.2244,OUT049,1999,Medium,Tier 1,Supermarket Type1,2493.06143
FDW04,8.985,Regular,0.058154195,Frozen Foods,129.831,OUT017,2007,,Tier 2,Supermarket Type1,2502.904359
FDK52,18.25,Low Fat,0.079666936,Frozen Foods,226.9062,OUT017,2007,,Tier 2,Supermarket Type1,2859.785507
FDN60,15.1,Low Fat,0.095306027,Baking Goods,157.1604,OUT049,1999,Medium,Tier 1,Supermarket Type1,1047.181497
FDM09,,Regular,0.150455041,Snack Foods,170.879,OUT019,1985,Small,Tier 1,Grocery Store,1953.758917
FDP46,15.35,Low Fat,0.074731622,Snack Foods,87.883,OUT049,1999,Medium,Tier 1,Supermarket Type1,33.29
FDB50,,Low Fat,0.268966279,Canned,79.1986,OUT019,1985,Small,Tier 1,Grocery Store,2894.77041
NCQ29,12,Low Fat,0.104392185,Health and Hygiene,258.8278,OUT049,1999,Medium,Tier 1,Supermarket Type1,33.29
FDP16,,Low Fat,0.039104567,Frozen Foods,245.3802,OUT027,1985,Medium,Tier 3,Supermarket Type3,2634.888955
FDX33,9.195,Regular,0.117963418,Snack Foods,161.1578,OUT018,2009,Medium,Tier 3,Supermarket Type2,2569.617913
FDP07,18.2,LF,0,Fruits and Vegetables,195.411,OUT010,1998,,Tier 3,Grocery Store,4572.359942
FDN22,18.85,Regular,0.138305372,Snack Foods,251.1724,OUT046,1997,Small,Tier 1,Supermarket Type1,4835.768001
FDF39,14.85,Regular,0,Dairy,261.691,OUT049,1999,Medium,Tier 1,Supermarket Type1,3619.667545
FDS21,19.85,Regular,0.020994235,Snack Foods,60.7194,OUT017,2007,,Tier 2,Supermarket Type1,3722.082952
NCM42,6.13,LF,0.028297924,Household,107.1912,OUT013,1987,High,Tier 3,Supermarket Type1,2729.467809
FDK50,,Low Fat,0.049660306,Canned,163.4894,OUT019,1985,Small,Tier 1,Grocery Store,1157.911285
DRF13,,Low Fat,0.029637145,Soft Drinks,146.9444,OUT027,1985,Medium,Tier 3,Supermarket Type3,433.4203478
FDH35,18.25,Low Fat,0.06049406,Starchy Foods,163.9526,OUT018,2009,Medium,Tier 3,Supermarket Type2,1130.419927
FDP60,17.35,Low Fat,0.056146632,Baking Goods,99.5016,OUT018,2009,Medium,Tier 3,Supermarket Type2,5069.892321
DRJ49,,Low Fat,0.013925484,Soft Drinks,130.1652,OUT027,1985,Medium,Tier 3,Supermarket Type3,2639.917731
NCT42,,Low Fat,0.043574485,Household,148.3392,OUT019,1985,Small,Tier 1,Grocery Store,1499.542261
FDE38,6.52,Low Fat,0.044676513,Canned,167.6842,OUT049,1999,Medium,Tier 1,Supermarket Type1,1668.360588
FDI04,13.65,Regular,0.073025792,Frozen Foods,198.6426,OUT049,1999,Medium,Tier 1,Supermarket Type1,2559.512992
NCH54,13.5,Low Fat,0.072816495,Household,157.892,OUT045,2002,,Tier 2,Supermarket Type1,1805.024382
FDT56,16,Regular,0.115772125,Fruits and Vegetables,58.9246,OUT049,1999,Medium,Tier 1,Supermarket Type1,3359.24518
DRD15,10.6,Low Fat,0.057027285,Dairy,232.3642,OUT018,2009,Medium,Tier 3,Supermarket Type2,33.29
FDV58,20.85,Low Fat,0,Snack Foods,193.8452,OUT013,1987,High,Tier 3,Supermarket Type1,790.1736611
FDP21,7.42,Regular,0.025780862,Snack Foods,187.0872,OUT049,1999,Medium,Tier 1,Supermarket Type1,33.29
FDH05,14.35,Regular,0.090837986,Frozen Foods,232.7984,OUT013,1987,High,Tier 3,Supermarket Type1,2936.239661
FDR10,,Low Fat,0.009991275,Snack Foods,161.5552,OUT027,1985,Medium,Tier 3,Supermarket Type3,3325.804267
NCP06,20.7,Low Fat,0.039325397,Household,149.4366,OUT045,2002,,Tier 2,Supermarket Type1,3407.454089
FDF33,7.97,Low Fat,0.02156897,Seafood,106.4596,OUT049,1999,Medium,Tier 1,Supermarket Type1,1673.985146
DRK37,5,Low Fat,0,Soft Drinks,188.353,OUT013,1987,High,Tier 3,Supermarket Type1,4076.999111
DRH49,19.7,Low Fat,0,Soft Drinks,84.2592,OUT045,2002,,Tier 2,Supermarket Type1,785.8840949
FDT58,9,Low Fat,0.085883187,Snack Foods,167.4816,OUT013,1987,High,Tier 3,Supermarket Type1,1199.221151
FDD41,6.765,Regular,0.087615564,Frozen Foods,104.3306,OUT018,2009,Medium,Tier 3,Supermarket Type2,4225.261154
FDP40,4.555,Regular,0.034497126,Frozen Foods,110.3544,OUT018,2009,Medium,Tier 3,Supermarket Type2,33.29
FDM51,,Regular,0.025800674,Meat,101.6674,OUT027,1985,Medium,Tier 3,Supermarket Type3,4889.060856
FDO45,13.15,Regular,0.063525167,Snack Foods,86.3856,OUT010,1998,,Tier 3,Grocery Store,4597.870333
FDW33,9.395,Low Fat,0.165907543,Snack Foods,106.528,OUT010,1998,,Tier 3,Grocery Store,3490.462191
FDY24,4.88,Regular,0,Baking Goods,54.1298,OUT045,2002,,Tier 2,Supermarket Type1,2464.29149
FDB10,10,Low Fat,0.112492619,Snack Foods,237.559,OUT010,1998,,Tier 3,Grocery Store,3572.210007
FDM40,10.195,Low Fat,0.159906706,Frozen Foods,141.7154,OUT035,2004,Small,Tier 2,Supermarket Type1,33.29
NCI06,11.3,Low Fat,0.0479876,Household,180.866,OUT017,2007,,Tier 2,Supermarket Type1,2693.782848
FDW12,,Regular,0.062282301,Baking Goods,143.5444,OUT019,1985,Small,Tier 1,Grocery Store,4457.211579
FDX48,,Regular,0.03770442,Baking Goods,154.8656,OUT027,1985,Medium,Tier 3,Supermarket Type3,3596.482597
NCW05,,Low Fat,0.147355554,Health and Hygiene,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type3,1353.819046
FDX27,20.7,Regular,0.114762583,Dairy,95.1436,OUT017,2007,,Tier 2,Supermarket Type1,2457.444712
DRM37,15.35,Low Fat,0.09659331,Soft Drinks,198.2768,OUT045,2002,,Tier 2,Supermarket Type1,1183.023876
FDA38,5.44,LF,0.025531593,Dairy,241.5538,OUT045,2002,,Tier 2,Supermarket Type1,992.3221826
FDR36,6.715,Regular,0.121586376,Baking Goods,40.0454,OUT046,1997,Small,Tier 1,Supermarket Type1,223.8457284
FDZ45,14.1,Low Fat,0.066875983,Snack Foods,198.8084,OUT046,1997,Small,Tier 1,Supermarket Type1,3409.338034
FDG05,11,Regular,0.088344041,Frozen Foods,158.463,OUT017,2007,,Tier 2,Supermarket Type1,577.9142049
FDK28,5.695,Low Fat,0.065535324,Frozen Foods,258.5646,OUT013,1987,High,Tier 3,Supermarket Type1,50.68504361
FDV47,17.1,Low Fat,0.054317483,Breads,85.7566,OUT045,2002,,Tier 2,Supermarket Type1,3848.979277
FDN21,18.6,Low Fat,0.077011493,Snack Foods,160.5236,OUT045,2002,,Tier 2,Supermarket Type1,517.5038824
FDP20,,low fat,0.045448081,Fruits and Vegetables,127.202,OUT027,1985,Medium,Tier 3,Supermarket Type3,612.2394613
FDI35,14,Low Fat,0.041374909,Starchy Foods,181.7634,OUT045,2002,,Tier 2,Supermarket Type1,2446.248431
DRY23,9.395,reg,0.109005584,Soft Drinks,43.3112,OUT013,1987,High,Tier 3,Supermarket Type1,33.29
FDA56,9.21,Low Fat,0.008814363,Fruits and Vegetables,122.7414,OUT017,2007,,Tier 2,Supermarket Type1,3985.110323
FDB09,16.25,Low Fat,0.057348328,Fruits and Vegetables,123.2046,OUT013,1987,High,Tier 3,Supermarket Type1,2048.405259
NCO26,,Low Fat,0.076483451,Household,117.3492,OUT027,1985,Medium,Tier 3,Supermarket Type3,5088.874069
FDQ49,20.2,Regular,0.039407615,Breakfast,156.563,OUT018,2009,Medium,Tier 3,Supermarket Type2,1713.843238
FDI52,,Low Fat,0.104171229,Frozen Foods,122.4072,OUT027,1985,Medium,Tier 3,Supermarket Type3,1651.851582
FDZ44,,Low Fat,0.03854151,Fruits and Vegetables,117.4808,OUT027,1985,Medium,Tier 3,Supermarket Type3,33.29
FDZ09,17.6,Low Fat,0.105306199,Snack Foods,164.3868,OUT018,2009,Medium,Tier 3,Supermarket Type2,2896.563397
FDY03,17.6,Regular,0.07624018,Meat,113.1202,OUT049,1999,Medium,Tier 1,Supermarket Type1,4370.033568
NCG42,19.2,LF,0.041461032,Household,129.931,OUT017,2007,,Tier 2,Supermarket Type1,1277.413
DRI13,,Low Fat,0.020228528,Soft Drinks,218.0508,OUT027,1985,Medium,Tier 3,Supermarket Type3,3938.060024
FDQ32,17.85,Regular,0.046569711,Fruits and Vegetables,125.6388,OUT013,1987,High,Tier 3,Supermarket Type1,2441.992016
FDW16,17.35,Regular,0.04146639,Frozen Foods,90.9804,OUT035,2004,Small,Tier 2,Supermarket Type1,717.0382761
FDU27,18.6,Regular,0.171476879,Meat,47.0376,OUT046,1997,Small,Tier 1,Supermarket Type1,2976.62918
FDR28,13.85,Regular,0.043345406,Frozen Foods,162.821,OUT010,1998,,Tier 3,Grocery Store,2643.841157
FDQ49,20.2,Regular,0.065692664,Breakfast,158.163,OUT010,1998,,Tier 3,Grocery Store,888.8896581
FDS37,7.655,Low Fat,0.031944868,Canned,116.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,5096.983309
FDW26,11.8,Regular,0.107493292,Dairy,220.4772,OUT018,2009,Medium,Tier 3,Supermarket Type2,2623.87521
FDX12,18.2,Regular,0.026170661,Baking Goods,241.1196,OUT018,2009,Medium,Tier 3,Supermarket Type2,2646.705152
NCP06,20.7,Low Fat,0.039213146,Household,150.7366,OUT013,1987,High,Tier 3,Supermarket Type1,2233.353588
FDW45,18,Low Fat,0.065296399,Snack Foods,145.2418,OUT010,1998,,Tier 3,Grocery Store,3297.882614
NCN30,16.35,Low Fat,0.017019624,Household,94.541,OUT049,1999,Medium,Tier 1,Supermarket Type1,3405.944032
FDN24,14.1,Low Fat,0.113443531,Baking Goods,53.0956,OUT049,1999,Medium,Tier 1,Supermarket Type1,1716.266744
NCL41,,Low Fat,0.04153551,Health and Hygiene,32.8216,OUT027,1985,Medium,Tier 3,Supermarket Type3,4168.732605
FDR02,,Low Fat,0.03863415,Dairy,109.4886,OUT019,1985,Small,Tier 1,Grocery Store,1859.411084
FDD09,13.5,Low Fat,0.035980572,Fruits and Vegetables,180.8976,OUT010,1998,,Tier 3,Grocery Store,3298.766675
FDS33,6.67,Regular,0,Snack Foods,86.5514,OUT010,1998,,Tier 3,Grocery Store,3458.579303
FDU22,12.35,Low Fat,0.093485761,Snack Foods,119.6124,OUT045,2002,,Tier 2,Supermarket Type1,4842.770267
FDI53,8.895,Regular,0.137530409,Frozen Foods,162.5236,OUT013,1987,High,Tier 3,Supermarket Type1,33.29
DRH01,17.5,Low Fat,0.098056243,Soft Drinks,175.7738,OUT049,1999,Medium,Tier 1,Supermarket Type1,1105.484175
FDX32,15.1,Regular,0.099775148,Fruits and Vegetables,142.9786,OUT013,1987,High,Tier 3,Supermarket Type1,3259.997553
NCP30,20.5,Low Fat,0.032902177,Household,39.7822,OUT018,2009,Medium,Tier 3,Supermarket Type2,2678.247976
FDB60,9.3,Low Fat,0.028579933,Baking Goods,195.9136,OUT045,2002,,Tier 2,Supermarket Type1,762.7370446
FDB14,20.25,Regular,0.102883628,Canned,93.412,OUT049,1999,Medium,Tier 1,Supermarket Type1,1824.475404
NCP02,7.105,Low Fat,0.044800289,Household,58.0562,OUT035,2004,Small,Tier 2,Supermarket Type1,977.9990744
FDJ10,5.095,Regular,0.13023619,Snack Foods,140.3838,OUT017,2007,,Tier 2,Supermarket Type1,33.29
FDG34,11.5,Regular,0,Snack Foods,110.5254,OUT046,1997,Small,Tier 1,Supermarket Type1,5150.740423
NCB18,19.6,Low Fat,0.041524729,Household,87.8514,OUT017,2007,,Tier 2,Supermarket Type1,176.6572916
FDM16,8.155,Regular,0.033607569,Frozen Foods,74.2354,OUT049,1999,Medium,Tier 1,Supermarket Type1,1545.615772
FDW25,5.175,Low Fat,0.0375513,Canned,84.1224,OUT018,2009,Medium,Tier 3,Supermarket Type2,1560.467978
FDB35,12.3,Regular,0.108158918,Starchy Foods,91.2804,OUT010,1998,,Tier 3,Grocery Store,3009.361784
DRN11,7.85,Low Fat,0.162844648,Hard Drinks,143.2444,OUT013,1987,High,Tier 3,Supermarket Type1,33.29
FDF41,,Low Fat,0.229678918,Frozen Foods,248.246,OUT019,1985,Small,Tier 1,Grocery Store,1482.912117
FDH16,10.5,Low Fat,0.05266193,Frozen Foods,88.183,OUT045,2002,,Tier 2,Supermarket Type1,3013.142615
NCQ50,18.75,Low Fat,0.034447102,Household,212.5218,OUT018,2009,Medium,Tier 3,Supermarket Type2,2064.372075
DRH23,14.65,Low Fat,0.171012056,Hard Drinks,57.1614,OUT018,2009,Medium,Tier 3,Supermarket Type2,1780.465236
DRJ37,10.8,Low Fat,0.061050536,Soft Drinks,151.9024,OUT013,1987,High,Tier 3,Supermarket Type1,2493.296613
DRJ24,,Low Fat,0.112780422,Soft Drinks,184.7924,OUT027,1985,Medium,Tier 3,Supermarket Type3,3931.041656
FDY16,18.35,Regular,0.092209315,Frozen Foods,183.4266,OUT035,2004,Small,Tier 2,Supermarket Type1,1506.817337
FDQ27,5.19,Regular,0.044342366,Meat,105.199,OUT045,2002,,Tier 2,Supermarket Type1,343.8255222
FDZ33,10.195,Low Fat,0.107614855,Snack Foods,148.6076,OUT045,2002,,Tier 2,Supermarket Type1,1408.084064
FDF29,15.1,Regular,0.019974614,Frozen Foods,131.331,OUT045,2002,,Tier 2,Supermarket Type1,1320.060496
FDA08,11.85,Regular,0.050163021,Fruits and Vegetables,163.1526,OUT049,1999,Medium,Tier 1,Supermarket Type1,1343.504852
FDG31,12.15,Low Fat,0,Meat,65.1826,OUT046,1997,Small,Tier 1,Supermarket Type1,1527.07919
FDE34,,low fat,0,Snack Foods,183.3634,OUT019,1985,Small,Tier 1,Grocery Store,33.29
NCR30,,Low Fat,0.070649186,Household,73.7696,OUT027,1985,Medium,Tier 3,Supermarket Type3,300.3116174
FDV33,9.6,Regular,0.02733844,Snack Foods,258.1304,OUT035,2004,Small,Tier 2,Supermarket Type1,2790.38299
DRZ24,7.535,Low Fat,0,Soft Drinks,120.244,OUT018,2009,Medium,Tier 3,Supermarket Type2,1798.397796
NCL54,12.6,Low Fat,0.082738167,Household,173.5054,OUT035,2004,Small,Tier 2,Supermarket Type1,33.29
FDR12,12.6,Regular,0.031583781,Baking Goods,172.8764,OUT049,1999,Medium,Tier 1,Supermarket Type1,3857.449904
NCC54,17.75,Low Fat,0.097710924,Health and Hygiene,241.9196,OUT046,1997,Small,Tier 1,Supermarket Type1,33.29
DRN59,15,Low Fat,0,Hard Drinks,45.906,OUT013,1987,High,Tier 3,Supermarket Type1,3582.906509
FDX50,,Low Fat,0.130662596,Dairy,110.3228,OUT019,1985,Small,Tier 1,Grocery Store,2841.66541
FDV31,,Low Fat,0.106200539,Fruits and Vegetables,178.437,OUT027,1985,Medium,Tier 3,Supermarket Type3,157.2125851
NCA29,,Low Fat,0.027144323,Household,172.8106,OUT027,1985,Medium,Tier 3,Supermarket Type3,124.4742002
FDW60,5.44,Regular,0.017088476,Baking Goods,176.837,OUT049,1999,Medium,Tier 1,Supermarket Type1,1919.618379
FDX08,12.85,Low Fat,0.022731909,Fruits and Vegetables,182.4318,OUT017,2007,,Tier 2,Supermarket Type1,5306.701147
DRD49,9.895,Low Fat,0.167691399,Soft Drinks,236.4564,OUT013,1987,High,Tier 3,Supermarket Type1,3572.814104
FDD33,12.85,Low Fat,0.108192641,Fruits and Vegetables,231.2642,OUT046,1997,Small,Tier 1,Supermarket Type1,351.2068217
FDW35,10.6,Low Fat,0.011079996,Breads,42.2454,OUT013,1987,High,Tier 3,Supermarket Type1,3612.06713
FDJ36,14.5,Regular,0.128985562,Baking Goods,102.9332,OUT017,2007,,Tier 2,Supermarket Type1,33.29
FDV51,16.35,Low Fat,0.032532744,Meat,166.3842,OUT035,2004,Small,Tier 2,Supermarket Type1,2597.130557
FDW36,11.15,Low Fat,0.056932641,Baking Goods,106.4622,OUT046,1997,Small,Tier 1,Supermarket Type1,2121.710733
FDH35,18.25,Low Fat,0.060248633,Starchy Foods,165.2526,OUT046,1997,Small,Tier 1,Supermarket Type1,3534.989095
NCS30,,Low Fat,0.092575723,Household,130.9652,OUT027,1985,Medium,Tier 3,Supermarket Type3,4077.281401
FDN49,17.25,Regular,0.125932787,Breakfast,38.248,OUT017,2007,,Tier 2,Supermarket Type1,6443.237254
FDL08,10.8,Low Fat,0.04992156,Fruits and Vegetables,246.0144,OUT018,2009,Medium,Tier 3,Supermarket Type2,33.29
FDI09,20.75,Regular,0.129229963,Seafood,240.088,OUT013,1987,High,Tier 3,Supermarket Type1,371.5248491
FDP19,11.5,Low Fat,0.174222894,Fruits and Vegetables,129.4652,OUT018,2009,Medium,Tier 3,Supermarket Type2,3988.313437
FDU21,11.8,Regular,0.128414313,Snack Foods,33.0558,OUT010,1998,,Tier 3,Grocery Store,3817.072264
NCP41,16.6,Low Fat,0.016243582,Health and Hygiene,107.6596,OUT045,2002,,Tier 2,Supermarket Type1,3588.744626
FDY10,17.6,Low Fat,0.049027044,Snack Foods,112.6176,OUT013,1987,High,Tier 3,Supermarket Type1,33.29
FDP12,9.8,Regular,0.045451204,Baking Goods,36.2874,OUT018,2009,Medium,Tier 3,Supermarket Type2,4855.800338
NCN26,10.85,Low Fat,0.028724484,Household,116.0808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1835.40692
FDK44,16.6,LF,0.122125769,Fruits and Vegetables,174.4738,OUT013,1987,High,Tier 3,Supermarket Type1,5646.98598
FDC28,7.905,Low Fat,0.055072409,Frozen Foods,109.1254,OUT049,1999,Medium,Tier 1,Supermarket Type1,2072.480406
FDJ41,,Low Fat,0.022772467,Frozen Foods,263.2594,OUT027,1985,Medium,Tier 3,Supermarket Type3,3089.879357
NCT29,12.6,Low Fat,0.064098602,Health and Hygiene,123.5414,OUT035,2004,Small,Tier 2,Supermarket Type1,3828.088594
NCH42,,Low Fat,0.063972131,Household,228.401,OUT019,1985,Small,Tier 1,Grocery Store,1573.493964
FDU60,20,Regular,0.060145056,Baking Goods,167.1132,OUT018,2009,Medium,Tier 3,Supermarket Type2,33.29
FDS02,10.195,Regular,0.14616317,Dairy,193.1794,OUT045,2002,,Tier 2,Supermarket Type1,3157.633751
FDC51,10.895,Regular,0.009621861,Dairy,123.073,OUT046,1997,Small,Tier 1,Supermarket Type1,2109.508074
FDU03,18.7,Regular,0.091501713,Meat,182.6292,OUT013,1987,High,Tier 3,Supermarket Type1,3603.452052
FDX39,14.3,Regular,0.049776901,Meat,211.7586,OUT045,2002,,Tier 2,Supermarket Type1,1960.331509
NCY05,13.5,Low Fat,0.092042001,Health and Hygiene,36.6874,OUT010,1998,,Tier 3,Grocery Store,2553.651098
NCL06,,Low Fat,0.071717648,Household,259.9594,OUT027,1985,Medium,Tier 3,Supermarket Type3,2799.973274
FDD32,17.7,Regular,0,Fruits and Vegetables,80.0276,OUT035,2004,Small,Tier 2,Supermarket Type1,1600.924972
NCN41,17,Low Fat,0.052315184,Health and Hygiene,122.773,OUT045,2002,,Tier 2,Supermarket Type1,33.29
NCX53,20.1,Low Fat,0.014961062,Health and Hygiene,141.5154,OUT049,1999,Medium,Tier 1,Supermarket Type1,33.29
FDU57,,Regular,0.15679782,Snack Foods,149.8708,OUT019,1985,Small,Tier 1,Grocery Store,3499.352257
FDQ23,6.55,Low Fat,0.024525828,Breads,104.0332,OUT046,1997,Small,Tier 1,Supermarket Type1,2070.638404
FDQ52,17,Low Fat,0.1196271,Frozen Foods,249.0434,OUT045,2002,,Tier 2,Supermarket Type1,65.09810618
FDC14,14.5,Regular,0.041332726,Canned,40.1454,OUT045,2002,,Tier 2,Supermarket Type1,5052.977387
FDY09,15.6,Low Fat,0.025195384,Snack Foods,176.8054,OUT035,2004,Small,Tier 2,Supermarket Type1,4126.967435
FDQ28,14,Regular,0.060549609,Frozen Foods,156.4656,OUT045,2002,,Tier 2,Supermarket Type1,33.29
FDV25,5.905,LF,0.045652243,Canned,221.0456,OUT046,1997,Small,Tier 1,Supermarket Type1,3573.666769
FDJ07,7.26,Low Fat,0.014420795,Meat,116.215,OUT035,2004,Small,Tier 2,Supermarket Type1,140.4432728
DRB25,12.3,Low Fat,0.069567714,Soft Drinks,106.0938,OUT049,1999,Medium,Tier 1,Supermarket Type1,33.29
FDK52,,Low Fat,0.138701966,Frozen Foods,225.4062,OUT019,1985,Small,Tier 1,Grocery Store,1151.586298
FDY52,,Low Fat,0.007312702,Frozen Foods,63.1536,OUT027,1985,Medium,Tier 3,Supermarket Type3,1143.164786
FDB28,6.615,Low Fat,0.093385381,Dairy,197.8426,OUT046,1997,Small,Tier 1,Supermarket Type1,352.7648949
FDT36,12.3,Low Fat,0.11125355,Baking Goods,36.0874,OUT035,2004,Small,Tier 2,Supermarket Type1,1977.424144
FDV25,5.905,Low Fat,0.045910471,Canned,222.1456,OUT017,2007,,Tier 2,Supermarket Type1,2205.224384
NCN07,,Low Fat,0.033780319,Others,130.4284,OUT027,1985,Medium,Tier 3,Supermarket Type3,480.8282428
FDC57,20.1,Regular,0.054903339,Fruits and Vegetables,193.282,OUT017,2007,,Tier 2,Supermarket Type1,1981.165564
FDQ03,15,Regular,0.078332053,Meat,236.7248,OUT018,2009,Medium,Tier 3,Supermarket Type2,1253.046531
FDU23,12.15,Low Fat,0.021846371,Breads,167.1184,OUT017,2007,,Tier 2,Supermarket Type1,33.29
NCX41,19,Low Fat,0.017715927,Health and Hygiene,212.6244,OUT035,2004,Small,Tier 2,Supermarket Type1,2179.817043
NCD06,13,Low Fat,0.099306497,Household,46.706,OUT035,2004,Small,Tier 2,Supermarket Type1,478.3998915
FDW08,12.1,LF,0.148682491,Fruits and Vegetables,106.728,OUT045,2002,,Tier 2,Supermarket Type1,2794.967835
NCU29,7.685,LF,0.025621558,Health and Hygiene,145.076,OUT017,2007,,Tier 2,Supermarket Type1,982.2515788
NCE06,5.825,Low Fat,0.0914091,Household,160.9894,OUT013,1987,High,Tier 3,Supermarket Type1,1272.668882
FDV52,20.7,Regular,0.203400773,Frozen Foods,117.9466,OUT010,1998,,Tier 3,Grocery Store,884.2589094
FDB02,9.695,Regular,0.029329243,Canned,176.637,OUT017,2007,,Tier 2,Supermarket Type1,33.29
NCR18,15.85,Low Fat,0.020529174,Household,42.9112,OUT045,2002,,Tier 2,Supermarket Type1,1269.928436
FDK16,9.065,Low Fat,0,Frozen Foods,94.4094,OUT049,1999,Medium,Tier 1,Supermarket Type1,33.29
NCQ29,12,Low Fat,0.174459878,Health and Hygiene,258.7278,OUT010,1998,,Tier 3,Grocery Store,2875.366596
FDZ01,,Regular,0.015860869,Canned,103.499,OUT019,1985,Small,Tier 1,Grocery Store,33.29
FDW27,5.86,Regular,0.150824783,Meat,157.0314,OUT035,2004,Small,Tier 2,Supermarket Type1,1586.073112
FDD17,7.5,Low Fat,0.03275986,Frozen Foods,237.8906,OUT018,2009,Medium,Tier 3,Supermarket Type2,4162.406217
FDW39,6.69,Regular,0.036879682,Meat,176.637,OUT013,1987,High,Tier 3,Supermarket Type1,2676.874322
DRH59,10.8,Low Fat,0.058551954,Hard Drinks,72.638,OUT045,2002,,Tier 2,Supermarket Type1,1930.552868
FDS52,8.89,Low Fat,0.005469959,Frozen Foods,101.7016,OUT013,1987,High,Tier 3,Supermarket Type1,33.29
FDU40,,Low Fat,0.037222843,Frozen Foods,195.2478,OUT027,1985,Medium,Tier 3,Supermarket Type3,2668.700237
NCF54,18,Low Fat,0.047337627,Household,173.6422,OUT013,1987,High,Tier 3,Supermarket Type1,2204.20092
FDH46,6.935,Regular,0.041366008,Snack Foods,102.8332,OUT045,2002,,Tier 2,Supermarket Type1,33.29
NCP14,8.275,Low Fat,0.110461228,Household,103.6306,OUT049,1999,Medium,Tier 1,Supermarket Type1,3895.603619
FDH50,15,Regular,0,Canned,185.2266,OUT049,1999,Medium,Tier 1,Supermarket Type1,3673.885527
DRF15,18.35,Low Fat,0.05559341,Dairy,153.534,OUT010,1998,,Tier 3,Grocery Store,4085.336319
FDV27,,Regular,0.039796377,Meat,87.4514,OUT027,1985,Medium,Tier 3,Supermarket Type3,2026.438254
NCJ06,20.1,Low Fat,0.034706495,Household,120.1782,OUT049,1999,Medium,Tier 1,Supermarket Type1,4698.927419
FDN02,16.5,Low Fat,0.074128491,Canned,205.4638,OUT018,2009,Medium,Tier 3,Supermarket Type2,3046.118347
FDQ51,16,Regular,0.017578564,Meat,45.9718,OUT049,1999,Medium,Tier 1,Supermarket Type1,953.9918099
FDQ07,15.1,Regular,0.087901272,Fruits and Vegetables,222.7456,OUT017,2007,,Tier 2,Supermarket Type1,1571.064346
FDS45,5.175,reg,0.029541813,Snack Foods,105.1622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.468144
